"Description","Timeseries File ID","Unit of Measure","Table Name"
"Transfers received by nonprofits","YNTR","Millions $",""
"Transfers received by nonprofits, From households","YNTRH","Millions $",""
"Transfers received by nonprofits, From corporations ","YNTRB","Millions $",""
"Transfers received by nonprofits, From governments","YNTRG","Millions $",""
"Transfers received by nonprofits, From non-residents ","YNTRR","Millions $",""
"Transfers paid by nonprofits","YNTP","Millions $",""
"Transfers paid by nonprofits, To households","YNTPH","Millions $",""
"Transfers paid by nonprofits, To corporations","YNTPB","Millions $",""
"Transfers paid by nonprofits, To general governments","YNTPG","Millions $",""
"Transfers paid by nonprofits, To non-residents","YNTPR","Millions $",""
"Non-profit disposable income","YNDI","Millions $",""
"Non-profit net savings","YNNS","Millions $",""
"Primary corporate income","YBPI","Millions $",""
"Primary corporate income, Net operating surplus","YBNOS","Millions $",""
"Primary corporate income, Net property income of corporations","YBPRY","Millions $",""
"Primary corporate income, Net property income of corporations, Property income received","YBPRYR","Millions $",""
"Primary corporate income, Net property income of corporations, Interest received from residents","YBPRYRIH","Millions $",""
"Primary corporate income, Net property income of corporations, Interest received from non-residents","YBPRYRIR","Millions $",""
"Primary corporate income, Net property income of corporations, Dividends received from residents","YBPRYRDH","Millions $",""
"Primary corporate income, Net property income of corporations, Dividends received from non-residents","YBPRYRDR","Millions $",""
"Primary corporate income, Net property income of corporations, Other receipts","YBPRYROT","Millions $",""
"Primary corporate income, Less: property income paid ","YBPRYP","Millions $",""
"Primary corporate income, Less: property income paid, Interest paid to residents","YBPRYPIH","Millions $",""
"Primary corporate income, Less: property income paid, Interest paid to non-residents","YBPRYPIR","Millions $",""
"Primary corporate income, Less: property income paid, Dividends paid to residents","YBPRYPDH","Millions $",""
"Primary corporate income, Less: property income paid, Dividends paid to non-residents","YBPRYPDR","Millions $",""
"Primary corporate income, Less: property income paid, Remitted profits of government business enterprises to government ","YBPRYPGV","Millions $",""
"Primary corporate income, Less: property income paid, Other payments","YBPRYPOT","Millions $",""
"Transfers paid by corporations","YBTP","Millions $",""
"Transfers paid by corporations, To households","YBTPH","Millions $",""
"Transfers paid by corporations, To non-profit institutions serving households","YBTPN","Millions $",""
"Transfers paid by corporations, To general government (corporate income tax)","YBTPG","Millions $",""
"Transfers paid by corporations, To non-residents","YBTPR","Millions $",""
"Corporate disposable income","YBDI","Millions $",""
"Corporate net savings","YBNS","Millions $",""
"Corporation profits before taxes (gross domestic product basis)","BPROF","Millions $",""
"Plus: dividends and interest on consumer credit and government debt from residents","BDIVH","Millions $",""
"Plus: interest and dividends received from non-residents","BDIVR","Millions $",""
"Less: taxes on income (corporate income tax)","BCTAX","Millions $",""
"Equals: corporation profits after taxes","BPRAX","Millions $",""
"Less: dividends paid to non-residents","RDIVB","Millions $",""
"Less: current transfers to non-residents","RTRAB","Millions $",""
"Equals: corporation profits retained in Canada","BPRIC","Millions $",""
"Less: dividends paid to residents","HDIVB","Millions $",""
"Less: current transfers to residents","HTRAB","Millions $",""
"Less: remitted profits of government business enterprises","GPROF","Millions $",""
"Equals: undistributed corporation profits","UBPROF","Millions $",""
"Plus: inventory valuation adjustment","BIVA","Millions $",""
"Equals: corporate net saving","BNS","Millions $",""
"Household final consumption expenditures","CHK","Millions $ 2012",""
"Consumption Expenditures, Non-durable goods, Food and non-alcoholic beverages","CHFBEK","Millions $ 2012",""
"Consumption Expenditures, Non-durable goods, Electricity, gas and other fuels","CHELEK","Millions $ 2012",""
"Consumption Expenditures, Non-durable goods, Motor fuels and lubricants","CHMFLK","Millions $ 2012",""
"Consumption Expenditures, Non-durable goods, Other non-durable goods","CHONDK","Millions $ 2012",""
"Consumption Expenditures, Non-durable goods, Alcoholic beverages and tobacco","CHABTK","Millions $ 2012",""
"Consumption Expenditures, Non-durable goods","CHNDK","Millions $ 2012",""
"Consumption Expenditures, Durable goods, Furnishings, households appliances and other household durable goods","CHFHAK","Millions $ 2012",""
"Consumption Expenditures, Durable goods, Vehicles and parts","CHVEPK","Millions $ 2012",""
"Consumption Expenditures, Durable goods, Other durable goods","CHODUK","Millions $ 2012",""
"Consumption Expenditures, Durable goods","CHDUK","Millions $ 2012",""
"Consumption Expenditures, Semi-durable goods, Clothing and footwear","CHCFOK","Millions $ 2012",""
"Consumption Expenditures, Semi-durable goods, Household semi durable goods (textile, small electric appliances, tools and others)","CHHSDK","Millions $ 2012",""
"Consumption Expenditures, Semi-durable goods, Recreation and personal effects semi durable goods","CHREPK","Millions $ 2012",""
"Consumption Expenditures, Semi-durable goods","CHSDK","Millions $ 2012",""
"Consumption Expenditures, Services, Transport Services","CHTRAK","Millions $ 2012",""
"Consumption Expenditures, Services, Communication, Recreation and culture services","CHCRCK","Millions $ 2012",""
"Consumption Expenditures, Services, Accommodation, food and beverage services","CHAFOK","Millions $ 2012",""
"Consumption Expenditures, Services, Insurance, financial and legal services","CHIFLK","Millions $ 2012",""
"Consumption Expenditures, Services, Education, health and other personal services","CHEHPK","Millions $ 2012",""
"Consumption Expenditures, Services, Services related to dwelling and property (including rental and imputed rent)","CHDWRK","Millions $ 2012",""
"Consumption Expenditures, Services, Net expenditure abroad","CHNEAK","Millions $ 2012",""
"Consumption Expenditures, Services  ","CHSEK","Millions $ 2012",""
"Consumption Expenditures, Goods","CHGOK","Millions $ 2012",""
"Total new motor vehicle sales, seasonally adjusted","VEHSALES","Units",""
"Household final consumption expenditures","CH","Millions $",""
"Consumption Expenditures, Non-durable goods, Food and non-alcoholic beverages","CHFBE","Millions $",""
"Consumption Expenditures, Non-durable goods, Electricity, gas and other fuels","CHELE","Millions $",""
"Consumption Expenditures, Non-durable goods, Motor fuels and lubricants","CHMFL","Millions $",""
"Consumption Expenditures, Non-durable goods, Other non-durable goods","CHOND","Millions $",""
"Consumption Expenditures, Non-durable goods, Alcoholic beverages and tobacco","CHABT","Millions $",""
"Consumption Expenditures, Non-durable goods","CHND","Millions $",""
"Consumption Expenditures, Durable goods, Furnishings, households appliances and other household durable goods","CHFHA","Millions $",""
"Consumption Expenditures, Durable goods, Vehicles and parts","CHVEP","Millions $",""
"Consumption Expenditures, Durable goods, Other durable goods","CHODU","Millions $",""
"Consumption Expenditures, Durable goods","CHDU","Millions $",""
"Consumption Expenditures, Semi-durable goods, Clothing and footwear","CHCFO","Millions $",""
"Consumption Expenditures, Semi-durable goods, Household semi durable goods (textile, small electric appliances, tools and others)","CHHSD","Millions $",""
"Consumption Expenditures, Semi-durable goods, Recreation and personal effects semi durable goods","CHREP","Millions $",""
"Consumption Expenditures, Semi-durable goods","CHSD","Millions $",""
"Consumption Expenditures, Services, Transport Services","CHTRA","Millions $",""
"Consumption Expenditures, Services, Communication, Recreation and culture services","CHCRC","Millions $",""
"Consumption Expenditures, Services, Accommodation, food and beverage services","CHAFO","Millions $",""
"Consumption Expenditures, Services, Insurance, financial and legal services","CHIFL","Millions $",""
"Consumption Expenditures, Services, Education, health and other personal services","CHEHP","Millions $",""
"Consumption Expenditures, Services, Services related to dwelling and property (including rental and imputed rent)","CHDWR","Millions $",""
"Consumption Expenditures, Services, Net expenditure abroad","CHNEA","Millions $",""
"Consumption Expenditures, Services  ","CHSE","Millions $",""
"Consumption Expenditures, Goods","CHGO","Millions $",""
"Retail Sales","NRT","Millions $",""
"Household final consumption expenditures","PCH","2012=1.0",""
"Consumption Expenditures, Non-durable goods, Food and non-alcoholic beverages","PCHFBE","2012=1.0",""
"Consumption Expenditures, Non-durable goods, Electricity, gas and other fuels","PCHELE","2012=1.0",""
"Consumption Expenditures, Non-durable goods, Motor fuels and lubricants","PCHMFL","2012=1.0",""
"Consumption Expenditures, Non-durable goods, Other non-durable goods","PCHOND","2012=1.0",""
"Consumption Expenditures, Non-durable goods, Alcoholic beverages and tobacco","PCHABT","2012=1.0",""
"Consumption Expenditures, Non-durable goods","PCHND","2012=1.0",""
"Consumption Expenditures, Durable goods, Furnishings, households appliances and other household durable goods","PCHFHA","2012=1.0",""
"Consumption Expenditures, Durable goods, Vehicles and parts","PCHVEP","2012=1.0",""
"Consumption Expenditures, Durable goods, Other durable goods","PCHODU","2012=1.0",""
"Consumption Expenditures, Durable goods","PCHDU","2012=1.0",""
"Consumption Expenditures, Semi-durable goods, Clothing and footwear","PCHCFO","2012=1.0",""
"Consumption Expenditures, Semi-durable goods, Household semi durable goods (textile, small electric appliances, tools and others)","PCHHSD","2012=1.0",""
"Consumption Expenditures, Semi-durable goods, Recreation and personal effects semi durable goods","PCHREP","2012=1.0",""
"Consumption Expenditures, Semi-durable goods","PCHSD","2012=1.0",""
"Consumption Expenditures, Services, Transport Services","PCHTRA","2012=1.0",""
"Consumption Expenditures, Services, Communication, Recreation and culture services","PCHCRC","2012=1.0",""
"Consumption Expenditures, Services, Accommodation, food and beverage services","PCHAFO","2012=1.0",""
"Consumption Expenditures, Services, Insurance, financial and legal services","PCHIFL","2012=1.0",""
"Consumption Expenditures, Services, Education, health and other personal services","PCHEHP","2012=1.0",""
"Consumption Expenditures, Services, Services related to dwelling and property (including rental and imputed rent)","PCHDWR","2012=1.0",""
"Consumption Expenditures, Services, Net expenditure abroad","PCHNEA","2012=1.0",""
"Consumption Expenditures, Services  ","PCHSE","2012=1.0",""
"Housing Starts, Total","IHS","Thousands ('000s)",""
"Housing Starts, Singles","IHSS","Thousands ('000s)",""
"Housing Starts, Multiples","IHMS","Thousands ('000s)",""
"Housing Completions, Total","IHC","Thousands ('000s)",""
"Housing Completions, Singles","IHSC","Thousands ('000s)",""
"Housing Completions, Multiples","IHMC","Thousands ('000s)",""
"Business Residential Construction","IBRK","Millions $ 2012",""
"Business Residential Construction, New Housing","IBRNK","Millions $ 2012",""
"Business Residential Construction, Renovations","IBRRK","Millions $ 2012",""
"Business Residential Construction, Ownership Transfer Cost","IBROK","Millions $ 2012",""
"Business Residential Construction","IBR","Millions $",""
"Business Residential Construction, New Housing","IBRN","Millions $",""
"Business Residential Construction, Renovations","IBRR","Millions $",""
"Business Residential Construction, Ownership Transfer Cost","IBRO","Millions $",""
"Total gross fixed capital formation","IK","Millions $ 2012",""
"Total business gross fixed capital formation","IBK","Millions $ 2012",""
"Residential structures","IBRK","Millions $ 2012",""
"Residential New construction","IBRNK","Millions $ 2012",""
"Residential Renovations","IBRRK","Millions $ 2012",""
"Residential Ownership transfer costs","IBROK","Millions $ 2012",""
"Non-residential structures","IBNSK","Millions $ 2012",""
"Non-residential buildings","IBNSBK","Millions $ 2012",""
"Engineering structures","IBNSEK","Millions $ 2012",""
"Engineering structures, Pipeline Transportation","IBPIPNSEK","Millions $ 2012",""
"Machinery and equipment","IBNMK","Millions $ 2012",""
"Intellectual property products","IBIK","Millions $ 2012",""
"Research and development","IBIRK","Millions $ 2007",""
"Software","IBISK","Millions $ 2007",""
"Total general governments gross fixed capital formation","IGK","Millions $ 2012",""
"Construction","IGCK","Millions $ 2012",""
"Residential structures","IGCRK","Millions $ 2012",""
"Non-residential structures","IGCNK","Millions $ 2012",""
"Non-residential buildings","IGCNBK","Millions $ 2012",""
"Engineering structures","IGCNEK","Millions $ 2012",""
"Machinery and equipment","IGMK","Millions $ 2012",""
"Weapons systems","IGWK","Millions $ 2012",""
"Intellectual property products","IGIK","Millions $ 2012",""
"Total non-profit institutions serving households' gross fixed capital formation","INK","Millions $ 2012",""
"Investment in inventories","NK","Millions $ 2012",""
" Business investment in inventories: Non-farm inventories","NBNFK","Millions $ 2012",""
" Business investment in inventories: Farm","NBAGK","Millions $ 2012",""
"Mining, Total non-residential","IBMINNRK","Millions $ 2012",""
"Oil and gas, Total non-residential","IBOILNRK","Millions $ 2012",""
"Other mining (besides oil and gas), Total non-residential","IBOMNNRK","Millions $ 2012",""
"Electric power generation, transmission, and distribution, Total non-residential","IBPOWNRK","Millions $ 2012",""
"Manufacturing, Total non-residential","IBMANNRK","Millions $ 2012",""
"Transportation and warehousing, Total non-residential","IBTSCNRK","Millions $ 2012",""
"Pipeline transportation, Total non-residential","IBPIPNRK","Millions $ 2012",""
"Finance, insurance, real estate, rental and leasing, Total non-residential","IBFFINNRK","Millions $ 2012",""
"Other, Total non-residential","IBOTHNRK","Millions $ 2012",""
"Total gross fixed capital formation","I","Millions $",""
"Total business gross fixed capital formation","IB","Millions $",""
"Residential structures","IB","Millions $",""
"Residential New construction","IBRN","Millions $",""
"Residential Renovations","IBRR","Millions $",""
"Residential Ownership transfer costs","IBRO","Millions $",""
"Non-residential structures","IBNS","Millions $",""
"Non-residential buildings","IBNSB","Millions $",""
"Engineering structures","IBNSE","Millions $",""
"Engineering structures, Pipeline Transportation","IBPIPNSE","Millions $",""
"Machinery and equipment","IBNM","Millions $",""
"Intellectual property products","IBI","Millions $",""
"Mineral exploration and evaluation","IBIM","Millions $",""
"Research and development","IBIR","Millions $",""
"Software","IBIS","Millions $",""
"Total general governments gross fixed capital formation","IG","Millions $",""
"Construction","IGC","Millions $",""
"Residential structures","IGCR","Millions $",""
"Non-residential structures","IGCN","Millions $",""
"Non-residential buildings","IGCNB","Millions $",""
"Engineering structures","IGCNE","Millions $",""
"Machinery and equipment","IGM","Millions $",""
"Weapons systems","IGW","Millions $",""
"Intellectual property products","IGI","Millions $",""
"Total non-profit institutions serving households' gross fixed capital formation","IN","Millions $",""
"Investment in inventories","N","Millions $",""
" Business investment in inventories: Non-farm inventories","NBNF","Millions $",""
" Business investment in inventories: Farm","NBAG","Millions $",""
"Total gross fixed capital formation","PI","Implicit Price Series 2012=1",""
"Total business gross fixed capital formation","PIB","Implicit Price Series 2012=1",""
"Residential structures","PIBR","Implicit Price Series 2012=1",""
"Residential New construction","PIBRN","Implicit Price Series 2012=1",""
"Residential Renovations","PIBRR","Implicit Price Series 2012=1",""
"Residential Ownership transfer costs","PIBRO","Implicit Price Series 2012=1",""
"Non-residential structures","PIBNS","Implicit Price Series 2012=1",""
"Non-residential buildings","PIBNSB","Implicit Price Series 2012=1",""
"Engineering structures","PIBNSE","Implicit Price Series 2012=1",""
"Machinery and equipment","PIBNM","Implicit Price Series 2012=1",""
"Intellectual property products","PIBI","Implicit Price Series 2012=1",""
"Mineral exploration and evaluation","PIBIM","Implicit Price Series 2007=1",""
"Research and development","PIBIR","Implicit Price Series 2007=1",""
"Software","PIBIS","Implicit Price Series 2007=1",""
"Total general governments gross fixed capital formation","PIG","Implicit Price Series 2012=1",""
"Construction","PIGC","Implicit Price Series 2012=1",""
"Residential structures","PIGCR","Implicit Price Series 2012=1",""
"Non-residential structures","PIGCN","Implicit Price Series 2012=1",""
"Non-residential buildings","PIGCNB","Implicit Price Series 2012=1",""
"Engineering structures","PIGCNE","Implicit Price Series 2012=1",""
"Machinery and equipment","PIGM","Implicit Price Series 2012=1",""
"Weapons systems","PIGW","Implicit Price Series 2012=1",""
"Intellectual property products","PIGI","Implicit Price Series 2012=1",""
"Total non-profit institutions serving households' gross fixed capital formation","PIN","Implicit Price Series 2012=1",""
"Investment in inventories","PN","Implicit Price Series 2012=1",""
" Business investment in inventories: Non-farm inventories","PNBNF","Implicit Price Series 2012=1",""
" Business investment in inventories: Farm","PNBAG","Implicit Price Series 2012=1",""
"Electricity Power Price Index","PIPNEP","Implicit Price Series 2009=1",""
"Exports","X","Millions $",""
"Exports, Merchandise","XM","Millions $",""
"Exports, Non-Merchandise","XS","Millions $",""
"Imports","M","Millions $",""
"Imports, Merchandise","MM","Millions $",""
"Imports, Non-Merchandise","MS","Millions $",""
"Net Exports","XNET","Millions $",""
"Net Exports, Merchandise","XNETM","Millions $",""
"Net Exports, Non-Merchandise","XNETS","Millions $",""
"Net Investment Income Paid to Non-Residents","YNPNR","Millions $",""
"Net Current Transfers","BOPTRANS","Millions $",""
"Temporary Balance of Payments Adjustment Term","BPADJTMP","Millions $",""
"Current Account Balance","BPCA","",""
"Current Account Balance/GDP","RBPCA","Millions $",""
"Statistical Discrepancy","FISD","Millions $",""
"Total Capital and financial account, net flows; all countries","FITOTAL","Millions $",""
"Exchange Rate","PFXI","Canada/U.S.",""
"Interest Differential:  T-Bill","RDTP90","Canada/U.S.",""
"Merchandise Exports, Total","XMK","Millions $ 2012",""
"Merchandise Exports, Farm and fishing products","XAGK","Millions $ 2012",""
"Merchandise Exports, Farm and fishing products, Live animals ","XLANK","Millions $ 2012",""
"Merchandise Exports, Farm and fishing products, Wheat ","XWHEK","Millions $ 2012",""
"Merchandise Exports, Farm and fishing products, Canola","XCANK","Millions $ 2012",""
"Merchandise Exports, Farm and fishing products, Other Farm and Fishing Products","XOAGK","Millions $ 2012",""
"Merchandise Exports, Energy Products","XENK","Millions $ 2012",""
"Merchandise Exports, Energy Products, Crude oil and crude bitumen ","XOILK","Millions $ 2012",""
"Merchandise Exports, Energy Products, Natural gas, natural gas liquids and related products ","XGASK","Millions $ 2012",""
"Merchandise Exports, Energy Products, Refined petroleum energy products ","XPCPK","Millions $ 2012",""
"Merchandise Exports, Energy Products, Electricity","XELEK","Millions $ 2012",""
"Merchandise Exports, Energy Products, Other energy products ","XOENK","Millions $ 2012",""
"Merchandise Exports, Crude Metals and Minerals","XCMK","Millions $ 2012",""
"Merchandise Exports, Primary Metals","XPMK","Millions $ 2012",""
"Merchandise Exports, Basic and industrial chemical, plastic and rubber products ","XCHK","Millions $ 2012",""
"Merchandise Exports, Wood products","XWDK","Millions $ 2012",""
"Merchandise Exports, Pulp and paper stock ","XPAK","Millions $ 2012",""
"Merchandise Exports, Manufacturing products","XMFK","Millions $ 2012",""
"Merchandise Exports, Manufacturing products, Industrial machinery, equipment and parts ","XINDK","Millions $ 2012",""
"Merchandise Exports, Manufacturing products, Electronic and electrical equipment and parts ","XELCK","Millions $ 2012",""
"Merchandise Exports, Manufacturing products, Motor vehicles and parts ","XMVPK","Millions $ 2012",""
"Merchandise Exports, Manufacturing products, Aircraft, aircraft engines and aircraft parts ","XAIRK","Millions $ 2012",""
"Merchandise Exports, Manufacturing products, Other transportation equipment and parts ","XOTRK","Millions $ 2012",""
"Merchandise Exports, Manufacturing products, Other manufacturing products","XOMFK","Millions $ 2012",""
"Merchandise Exports, Consumer goods ","XCGK","Millions $ 2012",""
"Merchandise Exports, Consumer goods, Food,  beverage and tobacco products","XFBTK","Millions $ 2012",""
"Merchandise Exports, Consumer goods, Other consumer goods","XOCGK","Millions $ 2012",""
"Merchandise Exports, Special transactions trade ","XSPK","Millions $ 2012",""
"Merchandise Exports, Other balance of payments adjustments ","XBPK","Millions $ 2012",""
"Merchandise Exports, Total","XM","Millions $",""
"Merchandise Exports, Farm and fishing products","XAG","Millions $",""
"Merchandise Exports, Farm and fishing products, Live animals ","XLAN","Millions $",""
"Merchandise Exports, Farm and fishing products, Wheat ","XWHE","Millions $",""
"Merchandise Exports, Farm and fishing products, Canola","XCAN","Millions $",""
"Merchandise Exports, Farm and fishing products, Other Farm and Fishing Products","XOAG","Millions $",""
"Merchandise Exports, Energy Products","XEN","Millions $",""
"Merchandise Exports, Energy Products, Crude oil and crude bitumen ","XOIL","Millions $",""
"Merchandise Exports, Energy Products, Natural gas, natural gas liquids and related products ","XGAS","Millions $",""
"Merchandise Exports, Energy Products, Refined petroleum energy products ","XPCP","Millions $",""
"Merchandise Exports, Energy Products, Electricity","XELE","Millions $",""
"Merchandise Exports, Energy Products, Other energy products ","XOEN","Millions $",""
"Merchandise Exports, Crude Metals and Minerals","XCM","Millions $",""
"Merchandise Exports, Primary Metals","XPM","Millions $",""
"Merchandise Exports, Basic and industrial chemical, plastic and rubber products ","XCH","Millions $",""
"Merchandise Exports, Wood products","XWD","Millions $",""
"Merchandise Exports, Pulp and paper stock ","XPA","Millions $",""
"Merchandise Exports, Manufacturing products","XMF","Millions $",""
"Merchandise Exports, Manufacturing products, Industrial machinery, equipment and parts ","XIND","Millions $",""
"Merchandise Exports, Manufacturing products, Electronic and electrical equipment and parts ","XELC","Millions $",""
"Merchandise Exports, Manufacturing products, Motor vehicles and parts ","XMVP","Millions $",""
"Merchandise Exports, Manufacturing products, Aircraft, aircraft engines and aircraft parts ","XAIR","Millions $",""
"Merchandise Exports, Manufacturing products, Other transportation equipment and parts ","XOTR","Millions $",""
"Merchandise Exports, Manufacturing products, Other manufacturing products","XOMF","Millions $",""
"Merchandise Exports, Consumer goods ","XCG","Millions $",""
"Merchandise Exports, Consumer goods, Food,  beverage and tobacco products","XFBT","Millions $",""
"Merchandise Exports, Consumer goods, Other consumer goods","XOCG","Millions $",""
"Merchandise Exports, Special transactions trade ","XSP","Millions $",""
"Merchandise Exports, Other balance of payments adjustments ","XBP","Millions $",""
