"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Expectations"

"DESCRIPTION"
"Expectations"

"LINK"
"https://www.bankofcanada.ca/?p=39806"

"SERIES"
"id","label","description"
"INDINF_FOURORMORE_Q","INDINF_FOURORMORE_Q","Percentage of firms expecting price increases over the next six months of: more than 3%"
"INDINF_ONEORLESS_Q","INDINF_ONEORLESS_Q","Percentage of firms expecting price increases over the next six months of: 1% or less"
"INDINF_THREEORLESS_Q","INDINF_THREEORLESS_Q","Percentage of firms expecting price increases over the next six months of: 3% or less"
"INDINF_TWOORLESS_Q","INDINF_TWOORLESS_Q","Percentage of firms expecting price increases over the next six months of: 2% or less"
"INDINF_ROS1TO2_Q","INDINF_ROS1TO2_Q","Bank of Canada Regional Office Survey - Percentage of firms expecting CPI inflation over the next two years to be: 1-2%"
"INDINF_ROS2TO3_Q","INDINF_ROS2TO3_Q","Bank of Canada Regional Office Survey - Percentage of firms expecting CPI inflation over the next two years to be: 2-3%"
"INDINF_ROSBELOW1_Q","INDINF_ROSBELOW1_Q","Bank of Canada Regional Office Survey - Percentage of firms expecting CPI inflation over the next two years to be: Less than 1%"
"INDINF_ROSOVER3_Q","INDINF_ROSOVER3_Q","Bank of Canada Regional Office Survey - Percentage of firms expecting CPI inflation over the next two years to be: more than 3%"
"INDINF_EXPECTSIXTEN_Q","INDINF_EXPECTSIXTEN_Q","CPI inflation: Consensus Forecasts - 6-10 years"
"INDINF_EXPECTTWOTHREE_Q","INDINF_EXPECTTWOTHREE_Q","CPI inflation: Consensus Forecasts - 2-3 years"
"INDINF_INFEXP_BOND_Q","INDINF_INFEXP_BOND_Q","Expectations implicit in real/nominal bond spread"

"OBSERVATIONS"
"date","INDINF_FOURORMORE_Q","INDINF_ONEORLESS_Q","INDINF_THREEORLESS_Q","INDINF_TWOORLESS_Q","INDINF_ROS1TO2_Q","INDINF_ROS2TO3_Q","INDINF_ROSBELOW1_Q","INDINF_ROSOVER3_Q","INDINF_EXPECTSIXTEN_Q","INDINF_EXPECTTWOTHREE_Q","INDINF_INFEXP_BOND_Q"
"2009Q2","1","55","99","89","49","35","11","4","2.1","2.1","1.9"
"2009Q3","4","52","96","89","49","34","6","11","2.0","2.1","2.1"
"2009Q4","4","47","96","87","61","20","9","7","2.0","2.1","2.3"
"2010Q1","15","17","85","70","54","40","0","6","2.0","2.1","2.5"
"2010Q2","10","34","91","78","50","45","2","3","2.0","2.1","2.4"
"2010Q3","6","43","94","84","53","32","7","5","2.0","2.1","2.2"
"2010Q4","6","29","94","78","47","44","2","3","2.0","2.1","2.3"
"2011Q1","7","12","93","52","21","58","2","15","2.0","2.1","2.5"
"2011Q2","12","12","88","54","18","62","1","18","2.0","2.1","2.6"
"2011Q3","5","29","95","84","41","47","0","7","2.0","2.1","2.3"
"2011Q4","9","24","92","73","41","51","3","4","2.0","2.1","2.1"
"2012Q1","8","22","91","65","28","63","0","5","2.0","2.1","2.1"
"2012Q2","2","32","98","91","44","53","0","2","2.0","2.1","2.0"
"2012Q3","4","31","96","83","52","43","2","1","2.0","2.0","2.0"
"2012Q4","4","42","96","85","54","42","0","2","2.0","2.0","2.0"
"2013Q1","6","41","95","88","61","32","0","3","2.0","2.0","2.0"
"2013Q2","5","37","95","88","64","28","5","0","2.0","2.0","1.9"
"2013Q3","1","34","99","91","70","27","1","1","2.0","2.0","1.9"
"2013Q4","5","39","95","81","68","29","1","1","2.0","2.0","2.0"
"2014Q1","3","41","97","84","63","30","3","4","1.9","2.0","2.0"
"2014Q2","4","32","96","85","64","30","3","2","2.0","2.0","2.0"
"2014Q3","4","31","96","89","59","37","0","2","2.0","2.0","2.0"
"2014Q4","1","36","99","88","68","24","2","2","2.0","2.0","1.9"
"2015Q1","8","36","92","77","60","29","6","3","2.0","2.0","1.8"
"2015Q2","3","37","97","94","68","26","3","1","2.0","2.0","1.8"
"2015Q3","6","47","94","79","63","24","7","5","2.0","2.0","1.6"
"2015Q4","20","28","80","55","70","18","10","2","2.0","2.0","1.5"
"2016Q1","2","44","98","83","60","24","7","6","2.0","2.0","1.4"
"2016Q2","3","36","97","80","67","25","4","4","2.0","2.0","1.5"
"2016Q3","9","40","92","80","76","19","4","1","2.0","2.0","1.4"
"2016Q4","9","30","91","77","66","23","5","5","2.0","1.9","1.7"
"2017Q1","9","34","91","79","64","30","3","2","2.0","1.9","1.7"
"2017Q2","8","42","92","81","70","24","2","1","2.0","2.0","1.6"
"2017Q3","9","26","91","78","55","38","4","2","2.0","2.0","1.6"
"2017Q4","10","30","90","74","56","38","0","0","1.9","1.9","1.6"
"2018Q1","7","29","93","70","41","53","2","3","1.9","2.0","1.8"
"2018Q2","11","27","89","67","32","58","0","7","2.0","1.9","1.8"
"2018Q3","7","20","93","79","36","56","2","6","2.0","1.9","1.7"
"2018Q4","8","27","92","72","35","54","0","8","2.0","1.9","1.6"
"2019Q1","5","51","95","89","64","27","3","3","1.9","1.9","1.5"
"2019Q2","5","37","95","90","64","28","2","4","1.9","2.0","1.4"
"2019Q3","2","38","98","84","64","32","2","1","1.9","2.0","1.3"
"2019Q4","6","33","94","82","59","30","2","5","2.0","1.9","1.3"
"2020Q1","24","53","76","68","53","38","4","2","2.0","2.0","1.2"
"2020Q2","27","46","73","65","37","24","25","1","2.0","2.1","1.0"
"2020Q3","22","45","78","66","44","28","12","11","2.0","2.0","1.2"
"2020Q4","20","24","80","65","60","21","7","8","2.0","2.1","1.5"
"2021Q1","34","14","66","39","35","42","2","13","2.0","2.0","1.7"
"2021Q2","40","7","60","22","8","51","0","35","2.0","2.0","1.8"
"2021Q3","67","5","33","13","10","42","0","45","2.0","2.1","1.7"
"2021Q4","77","1","23","9","2","30","0","67","2.0","2.2","1.8"
"2022Q1","82","0","18","7","1","26","0","70","2.0","2.1","1.8"
"2022Q2","80","3","20","13","1","11","0","78","2.0","2.2","1.8"
"2022Q3","79","8","21","15","2","13","1","77","2.0","2.2","1.8"

